,Customer Name,Review Title,Rating,Reviews
0,Subhash K.,Waste of money.,1.0 out of 5 stars,  Over priced. And without charger too.Not recommended. It is a waste of money. Be logical enough to make a call on this.
1,Aakash,This took one of my kidneys and a testicle. But worth it,5.0 out of 5 stars,"  Impressed! I’ve tested it with iphone11 and other iphones, it’s remarkable. It has unquestionably better video quality and touch sensitivity. The screen is bigger than I thought. I loved the Gold variant. But if u have a 11 max or a X max I wouldn’t suggest for an upgradation. I feel that the next iphone will have way more cooler features so wouldn’t hurt to wait. My previous iphone was 6, so in my case am totally peachy with this phone. Though it has a ceramic glass wouldn’t hurt to buy a screen guard. If u can afford it u can totally go 4 it."
2,Arjun Menon,The best iPhone in 2020. Phone of the year.,5.0 out of 5 stars,"  This is the best iPhone yes. The Max model gives you the better screen and overall is a camera beast. I would highly recommend this to anyone. Regarding value for money, its sad that we live in a country where Falling Rupee, Import Duty and High GST are the reasons for such high poricing. A rich country like USA pays only $1099 (Rs. 81,500) whereas its priced a whopping Rs. 48,400 more in India. Thats slmost 60% more. Shame!"
3,Amazon Customer,"Massive Display, Monster Camera! 👌🏽",5.0 out of 5 stars,"  Pros: Great display, battery, cameras, usability, ease of access & a whole lot moreCons: Running out of Kidneys to sell to buy iPhones in India 😓"
4,Sahith,Best & Biggest iPhone i ever owned 🥰,5.0 out of 5 stars,"  Just no words, what a beauty. Upgrading from iPhone X, this feels so big and heavy. But do not has much discomfort while using, you will get used to it.Make sure to get a decent Screen guard and clear case just to safeguard this beauty."
5,Naval,This is a pretty monster you must have!,5.0 out of 5 stars,"  Had pre booked this iPhone 12 Pro Max. Amazon delivered it promptly within four days of launch. Kudos to thisclightening fast delivery.Now about device, Since I upgraded from 11, I could notice the difference between A13 and A14 speed. Miraculously faster. Performance wise this indeed is a notch up.Build quality is significantly improved. This design which Apple brought back from iPhone 5 series is absolutely lovely!  These two factors give it a classy and stylish look combined with solid and durable finish. The phone does feels premium when one holds it. All the more reasons to go ga-ga about this pretty beast!Phone is indeed pricey but if one can shell these bucks; you should not blink your eye before buying. The upgrade does provide you with enhanced durability, performance and looks!"
6,Mitul,Expensive but honestly saying great phone...,5.0 out of 5 stars,  I fell like the phone is bit expensive then it really should be but it's an Apple what can you say thay always one step ahead from ther competitors in terms of pricing..thay also took the charger this time to making more profit out of it..less carbon footprint my ass...but honestly saying accept the price the phone look nice and also fill good in hand not so heavy as i thought.... Display is nice but not as nice as oneplus flagship models... In terms of performance and camera quality iphone still batter then any other phone that available in the market..
7,Brain Craftsman,Awesome! Awesome! Awesome! 🥰,5.0 out of 5 stars,"  Real beast! Its such a treat! All the wait was worth. Upgraded to pro max from iphone x after 2 years. Things have really changed a lot. Camera quality is awesome, night mode is unbelievably good and the best of all...is battery life. After spending whole day with heavy usage, its still about half. Using it with spigen cover and screen guard. Very happy with this new purchase. Using jio main sim with airtel e sim. Both are working smoothly."
8,Rajesh Nambiar,Phone call get disconnected all the time,1.0 out of 5 stars,  Phone call get disconnected all the time
9,Mohit Kumar,Pathetic Apple Experience,1.0 out of 5 stars,  The phone crashed within 5 days of purchase. And is lying dead ever since.
10,Sunshine,iPhone Pro Max - the worst display screen on an iPhone yet. With a hefty price tag,1.0 out of 5 stars,"  Apple claims that the display screen is the brightest yet. But when I compare it with my XS MAX, the iPhone pro Max is distinctly yellowish and not as bright. There is definitely a problem with the new Apple phones - BUYER BEWARE!May 29-2021This same phone that I bought from Amazon 3.5 months ago has completely stopped working now. When I tried to reboot the phone after charging it refused to turn back on. And now there is a faint flicker of the apple logo and then completely black. It’s as good as an expensive paperweight now. Does anyone have any idea what to do? Whether apple will replace this phone ? Does anyone else have problems like this with their very expensive iPhone 12 Pro Max"
11,Mangal Kundu,(256 GB)- Graphite,5.0 out of 5 stars,"  Best!! I am a new user of iphone..It’s great for me and so impressed..If you use android old version, you needs to use iPhone for one time..I fell in love with it after using it for the first time ❤️"
12,Ca Yagnesh Desai Mumbai,Adapter is missing ..Why is this? Is this policy of Apple or Amazon? Kindly reply at the earliest.,1.0 out of 5 stars,  Apple Phone is not activated even after one hour. Guys I suggest if you intend to buy such an expensive gadgetavoid buying online.
